Pattern 1,Pattern 2,Pattern 3,Pattern 4,Pattern 5,Pattern 6,Pattern 7,Pattern 8,Pattern 9,Pattern 10,Pattern 11,Pattern 12,Pattern 13,Pattern 14,Pattern 15,Pattern 16,Area_8_Async
336,130,127,37,128,30,27,13,128,28,33,9,38,10,11,4,261
716,74,78,8,79,12,10,0,77,13,10,1,4,2,3,2,112
25,38,33,70,40,53,41,94,38,42,60,88,63,95,94,215,695
0,8,8,25,5,31,5,56,6,3,30,58,30,55,54,715,951
37,48,50,59,50,61,41,88,54,46,55,85,53,85,94,183,655
5,18,24,42,18,40,16,102,15,24,37,100,51,94,99,404,824
0,3,3,32,2,33,4,45,2,3,33,46,34,45,44,760,967
766,71,70,6,70,7,8,0,72,7,6,0,5,0,1,0,91
818,57,61,8,61,4,3,0,58,6,3,1,7,1,1,0,77
619,93,96,18,95,10,16,0,94,16,8,3,18,2,1,0,142
2,7,6,39,11,32,10,86,9,18,35,77,32,82,88,555,896
68,72,61,65,69,52,68,72,67,59,65,70,62,78,67,94,562
617,94,97,14,98,9,17,1,95,19,9,2,12,3,2,0,142
6,11,17,42,14,47,23,94,22,28,33,95,34,92,105,426,835
633,96,95,10,92,11,13,3,95,11,9,4,14,1,2,0,136
23,27,34,57,28,56,31,104,30,39,47,103,60,97,107,246,729
94,90,74,65,75,65,57,67,88,61,68,47,66,48,65,59,502
459,104,106,37,111,25,19,10,108,26,26,5,28,10,14,1,218
247,107,111,47,106,56,44,27,101,53,57,22,58,17,21,15,344
18,35,31,58,30,56,37,92,36,36,54,89,58,88,93,278,732
747,71,74,7,75,9,6,1,70,10,11,0,7,1,0,0,99
60,56,65,84,61,87,55,58,73,50,66,72,71,68,75,88,563
484,111,106,19,105,31,28,6,111,25,30,4,20,3,6,0,199
66,76,60,71,58,76,61,68,76,44,74,69,73,67,68,82,553
176,101,102,50,96,64,54,40,99,51,60,44,58,38,38,18,406
312,118,114,46,116,43,37,12,116,29,47,16,46,18,10,9,291
92,74,73,75,80,64,58,58,78,59,67,56,64,63,62,66,515
217,115,110,64,110,42,58,23,116,56,41,20,63,20,24,10,350
0,2,1,32,3,29,0,22,2,1,31,20,30,22,22,872,1000
505,112,104,19,102,23,24,8,110,17,23,7,23,5,6,1,192
86,70,72,52,73,81,60,63,71,62,81,63,50,64,64,77,532
122,85,88,57,81,70,66,52,82,64,66,57,67,50,49,33,468
26,41,39,66,42,57,59,94,39,58,62,93,65,96,92,160,665
15,23,27,51,26,63,35,98,31,43,54,94,44,93,106,286,751
8,21,17,39,21,35,28,94,16,21,44,97,40,101,89,418,826
126,87,81,67,86,61,58,53,85,55,68,50,64,55,51,42,470
1,16,15,41,15,39,26,95,11,15,44,105,46,105,90,425,841
174,94,99,58,93,68,44,46,94,54,62,41,64,35,46,17,413
103,82,80,56,78,80,51,62,83,53,77,58,57,56,63,50,497
0,2,3,29,2,31,1,21,3,1,29,22,29,21,22,873,1000
256,121,117,52,115,44,48,16,124,40,39,20,51,18,19,9,320
176,100,103,57,107,62,54,33,104,61,62,29,49,33,37,22,397
60,60,54,58,53,52,53,84,53,43,58,88,66,87,77,143,615
159,93,96,58,95,70,66,36,99,73,63,32,53,31,42,23,416
228,103,111,56,103,55,35,37,96,52,54,28,71,20,30,10,361
103,79,88,71,83,71,58,51,83,60,62,58,72,53,55,42,485
403,117,113,27,110,41,34,6,115,27,40,9,32,6,4,5,238
833,59,57,5,57,3,5,0,59,3,3,0,5,0,0,0,70
42,56,55,63,56,66,64,84,52,64,71,83,66,84,80,103,603
36,46,50,56,37,83,51,94,54,56,62,93,61,80,102,128,636
13,33,23,58,31,52,47,105,25,45,68,97,58,105,97,232,727
0,2,3,29,2,31,1,22,3,0,29,24,29,23,23,868,999
1,9,6,29,6,32,3,75,4,9,37,66,34,66,70,642,928
82,69,68,67,65,71,53,74,63,56,74,70,76,67,68,66,540
167,91,97,63,104,60,59,34,91,63,67,36,56,43,34,24,414
192,98,101,62,100,61,55,28,102,47,56,39,59,38,32,19,392
41,41,62,63,59,66,56,71,49,60,55,88,58,85,79,156,630
301,99,109,61,114,47,29,18,103,39,48,18,52,23,22,6,311
90,66,76,59,67,84,47,66,67,50,74,73,67,64,67,72,534
47,60,62,69,55,67,65,74,53,54,67,87,83,80,67,99,590
94,76,76,61,75,66,61,62,64,63,77,60,74,59,50,71,518
94,83,76,63,81,60,66,64,77,69,71,54,64,59,58,50,502
891,45,46,2,47,2,2,0,45,3,3,0,1,1,0,1,54
397,120,114,34,114,29,36,7,121,31,28,6,33,6,8,5,238
254,120,114,41,111,53,48,21,121,40,49,23,43,20,22,9,327
759,70,69,11,69,8,4,2,70,4,8,1,11,1,2,0,97
644,90,94,11,93,13,9,2,89,12,13,3,13,2,1,0,133
37,45,46,62,48,76,49,87,47,57,76,80,58,82,89,150,639
28,40,42,65,43,77,40,91,46,47,72,86,58,87,97,170,663
67,59,67,54,54,71,69,70,63,66,54,81,63,68,74,109,578
0,6,2,29,8,25,4,46,4,5,33,41,25,47,44,770,969
3,8,7,34,12,34,14,79,11,12,36,80,26,85,82,566,898
1055,8,8,1,8,0,0,0,8,0,0,0,1,0,0,0,9
309,112,115,51,117,36,38,16,112,41,38,16,49,18,16,5,295
184,114,116,53,100,53,63,28,114,53,37,40,69,24,28,13,378
96,75,72,65,68,78,58,63,83,53,66,65,61,61,71,54,514
10,17,24,41,20,51,34,93,23,26,41,108,39,104,99,359,799
2,14,20,52,18,45,18,94,20,15,37,103,48,101,100,402,826
392,111,115,32,108,40,26,13,107,27,37,16,43,9,9,4,252
5,13,13,39,9,38,24,102,14,21,33,105,42,101,103,427,846
271,110,103,53,103,44,45,27,109,41,45,24,54,24,26,10,333
81,78,77,74,75,56,40,72,80,45,52,66,74,64,74,81,536
1025,16,16,0,16,0,0,0,16,0,0,0,0,0,0,0,16
341,120,115,38,114,40,32,15,113,27,46,15,46,14,8,5,274
13,28,23,57,25,62,38,102,29,35,63,100,54,102,103,255,741
174,104,114,63,113,46,45,35,101,54,48,36,67,35,32,22,395
16,13,14,43,13,43,10,102,14,18,41,95,43,94,103,427,835
5,11,13,31,8,39,15,87,8,7,37,97,39,92,84,516,880
40,51,53,61,52,78,54,82,50,64,78,74,63,73,81,135,618
22,40,37,62,44,56,50,105,38,66,65,86,57,93,103,165,673
67,53,61,73,65,63,63,73,60,61,60,83,62,87,80,78,571
186,106,95,62,104,56,59,34,101,56,70,26,58,35,29,12,387
50,60,61,75,59,53,51,83,57,59,54,76,80,74,80,117,597
958,32,31,1,31,1,1,0,32,0,1,0,1,0,0,0,34
123,88,91,56,78,75,57,52,85,56,65,56,72,43,49,43,469
1,6,7,38,8,36,8,72,11,8,32,73,32,74,77,606,913
16,28,30,83,37,58,49,90,39,53,54,88,65,95,101,203,698
0,5,3,34,5,30,2,55,4,6,33,49,33,51,54,725,955
13,24,22,50,23,40,31,105,27,24,38,110,46,111,108,317,781
620,94,91,16,88,15,17,3,93,14,13,3,20,0,2,0,145
20,33,27,61,32,52,49,102,25,40,65,105,64,110,94,210,713
120,90,78,76,83,60,61,53,91,56,64,46,70,51,54,36,468
5,7,10,32,8,34,4,59,11,4,28,62,30,60,63,672,930
75,68,69,67,75,71,60,63,71,59,74,65,58,71,66,77,541
319,115,108,49,113,43,40,15,118,38,45,10,41,15,18,2,287
21,30,25,58,32,58,37,102,31,42,64,92,50,99,103,245,726
98,75,69,74,72,73,64,57,82,55,69,60,64,63,64,50,507
408,118,110,35,114,24,28,15,110,30,36,5,39,9,7,1,237
52,65,54,75,57,81,52,76,72,57,77,60,65,63,83,100,577
0,1,2,31,1,31,0,25,2,0,29,26,31,25,26,859,998
243,101,108,55,108,68,39,23,103,47,66,22,53,22,25,6,344
7,19,13,39,17,42,20,107,13,31,52,90,41,94,101,403,825
124,71,80,63,80,63,50,59,77,68,57,50,57,50,65,75,499
698,87,80,10,80,6,14,1,87,7,6,1,10,1,1,0,113
25,34,38,70,39,56,53,89,37,50,54,96,66,97,92,193,685
2,7,7,33,8,36,10,81,7,12,37,79,32,80,81,577,905
117,90,82,54,78,81,63,51,87,52,80,54,61,50,48,41,473
43,63,48,72,47,55,66,92,48,66,69,77,88,76,77,102,603
119,83,82,71,87,72,58,47,81,57,79,47,68,52,45,41,470
1081,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,2
13,18,24,42,23,54,25,103,14,35,57,99,47,98,99,338,787
4,12,11,28,10,44,13,100,10,21,45,91,31,90,98,481,867
7,11,10,50,13,34,19,87,12,17,36,88,46,91,88,480,858
226,103,120,50,117,54,51,19,108,57,46,30,48,27,24,9,349
10,15,18,49,14,49,14,98,16,22,44,93,52,89,99,407,822
123,72,77,64,73,64,56,59,74,57,58,63,66,59,61,63,501
8,18,19,34,14,55,24,109,19,33,49,101,38,96,110,362,808
105,74,88,71,80,70,69,47,78,72,58,58,75,50,51,43,485
245,108,108,54,111,37,45,32,104,52,44,25,55,28,28,13,349
9,18,17,37,15,44,24,97,18,24,42,96,39,94,97,418,828
47,54,54,62,50,76,62,75,52,58,74,79,68,75,73,130,609
32,38,45,73,38,76,55,79,43,55,64,86,75,79,84,167,653
997,23,21,0,21,1,2,0,23,0,1,0,0,0,0,0,24
116,73,85,74,92,59,58,51,74,67,65,54,66,61,52,42,481
701,86,78,8,78,11,15,0,88,7,9,0,6,0,2,0,112
5,18,25,55,26,61,41,100,21,35,59,113,51,114,103,262,758
1,15,13,45,14,46,20,95,20,24,42,89,39,90,100,436,840
138,98,98,69,93,58,67,40,97,68,54,39,75,34,39,22,428
23,35,35,74,36,68,44,88,39,39,65,93,69,94,92,195,686
468,115,118,20,118,26,25,2,117,28,24,2,18,2,4,2,197
939,34,34,3,34,3,1,0,34,1,3,0,3,0,0,0,41
0,1,1,31,1,31,0,1,1,0,31,1,31,1,1,957,1023
117,89,87,47,80,76,59,60,87,64,71,53,56,46,58,39,474
78,59,64,66,64,68,55,67,60,55,67,72,65,72,68,109,568
739,75,80,7,81,4,4,1,74,10,6,0,7,1,0,0,98
29,40,38,77,38,61,58,90,43,56,58,90,74,90,93,154,658
463,117,117,18,119,25,27,3,116,27,28,3,17,5,2,2,200
162,97,100,68,96,52,59,39,95,63,50,38,74,34,37,25,416
174,97,96,56,93,58,51,45,99,56,53,39,57,36,47,32,419
341,111,106,40,106,42,50,12,108,46,45,11,43,11,9,8,281
179,86,84,48,79,85,46,47,84,41,82,50,55,45,45,33,435
27,29,27,46,24,50,35,108,31,44,45,97,47,94,110,275,743
436,120,116,31,115,26,29,3,125,22,20,6,27,5,8,0,213
26,35,45,71,47,59,44,92,37,59,59,87,67,89,94,178,670
14,31,30,37,21,49,22,106,21,25,50,102,56,93,96,336,779
315,110,116,38,113,45,28,23,104,38,48,19,47,16,17,12,301
51,65,54,58,61,63,54,81,69,47,66,77,47,84,85,127,602
860,53,54,4,54,1,2,0,53,3,1,0,4,0,0,0,61
98,76,73,69,70,56,62,65,65,58,64,66,83,63,54,67,520
83,82,75,78,78,66,65,57,86,67,65,48,71,51,61,56,505
98,85,79,65,91,73,72,48,84,61,86,53,54,65,47,28,478
312,101,107,44,106,55,42,17,102,44,53,21,44,20,18,3,305
666,94,88,10,88,8,9,3,91,5,11,1,13,1,0,1,123
64,57,68,90,77,66,60,63,64,72,68,62,74,71,70,63,544
77,60,63,60,54,84,60,64,59,43,76,84,70,75,63,97,567
511,103,94,22,93,33,30,5,104,19,31,7,22,6,6,3,198
101,86,78,61,74,83,53,64,82,68,83,41,69,37,60,49,489
81,87,87,52,81,71,62,67,70,70,82,59,75,53,50,42,501
34,33,35,61,31,63,39,96,43,50,49,87,55,83,106,224,697
61,55,68,77,72,69,49,67,61,49,67,80,67,84,73,90,571
0,2,2,29,1,31,0,16,1,0,31,16,31,15,15,899,1008
49,68,62,73,76,61,70,67,73,64,70,67,54,81,72,82,563
132,87,84,46,86,64,59,60,83,59,70,57,48,59,56,39,471
